7,1,0,0
6.8,1,0,0
7.3,2,0,32320.36194
6.7,1,1,6033.681061
6.8,1,0,0
6.4,2,1,0
7,2,1,0
6.6,1,0,0
7.6,2,0,0
6.8,0,0,0
6.8,2,0,0
6.8,2,0,0
7.2,1,0,0
6.8,2,1,0
7,2,1,2333.362091
6.8,3,1,0
7.2,1,0,154629.8946
7.4,0,0,0
7.2,2,1,0
6.7,3,0,7906.862121
6.6,2,0,0
6.5,2,0,0
6.7,1,1,0
6.4,2,0,0
6.8,2,0,0
6.8,2,0,0
6.8,2,0,0
6.6,2,0,2876.068832
6.4,2,0,0
6.4,2,0,23870.28955
6,2,0,0
6.8,2,0,0
6.4,2,0,0
6.8,2,0,10054.03827
7,2,1,0
7.6,1,0,0
7.3,2,1,0
6.2,2,0,0
7.2,2,0,0
6.8,0,1,0
6.4,2,0,9862.317321
6.4,2,0,2.264423
6.8,2,0,0
6.8,0,1,4185.15686
7,1,0,9364.123672
6.7,2,0,0
6.4,1,1,0
6.7,2,0,0
6.8,0,0,0
6.4,1,1,0
6.8,3,1,0
6.8,2,0,0
6.8,1,0,0
6.4,1,0,0
6.4,1,0,0
6.4,2,0,0
6.4,2,0,0
6.2,2,0,0
6.9,2,0,0
6.8,0,0,0
6.6,2,0,0
6.4,1,0,0
6.6,2,1,0
6.4,2,1,0
6.4,2,0,0
6.4,3,1,0
6.7,2,1,0
6.4,2,1,0
6.4,1,0,0
6,2,1,0
4.5,2,1,0
6.4,2,0,0
6.8,2,0,0
7,0,0,0
6.2,1,0,13119.8154
6.5,1,0,3203.403809
6.7,1,1,0
6.4,2,0,0
6.4,2,1,0
6.6,2,0,45399.66943
6.6,1,0,0
7.2,2,1,0
6.4,1,0,0
7.2,2,0,0
