7,1,0,0,1222,8152,0
6.8,1,0,0,2,5733,0
7.3,2,0,1,1561,8824,0
6.7,1,1,1,118,1119,1
6.8,1,0,0,100,448,0
6.4,2,1,0,88,3218,0
7,2,1,0,9,10146,1
6.6,1,0,0,411,13883,0
7.6,2,0,0,0,4669,0
6.8,0,0,0,348,5033,0
6.8,2,0,0,0,4326,1
6.8,2,0,0,42,2676,1
7.2,1,0,0,1123,5250,1
6.8,2,1,0,24,5662,1
7,2,1,1,284,3224,0
6.8,3,1,0,371,9093,1
7.2,1,0,1,937,20899,0
7.4,0,0,0,11,8440,0
7.2,2,1,0,50,8490,1
6.7,3,0,1,1581,16436,0
6.6,2,0,0,311,3087,1
6.5,2,0,0,1,4192,1
6.7,1,1,0,515,8326,0
6.4,2,0,0,166,3721,1
6.8,2,0,0,38,7037,0
6.8,2,0,0,67,2497,1
6.8,2,0,0,0,4788,0
6.6,2,0,1,42,7727,0
6.4,2,0,0,1,3522,0
6.4,2,0,1,369,6666,1
6,2,0,0,4,4696,1
6.8,2,0,0,9,4665,0
6.4,2,0,0,1129,2538,1
6.8,2,0,1,327,8403,1
7,2,1,0,598,7285,0
7.6,1,0,0,735,2812,0
7.3,2,1,0,95,2886,1
6.2,2,0,0,14,9950,1
7.2,2,0,0,0,5660,1
6.8,0,1,0,58,10111,1
6.4,2,0,1,1377,3735,0
6.4,2,0,1,14,13693,0
6.8,2,0,0,3,3275,1
6.8,0,1,1,8,5351,0
7,1,0,1,1,3674,1
6.7,2,0,0,77,1793,1
6.4,1,1,0,335,4627,1
6.7,2,0,0,38,2654,1
6.8,0,0,0,661,8838,0
6.4,1,1,0,71,3687,1
6.8,3,1,0,33,6383,1
6.8,2,0,0,54,4935,0
6.8,1,0,0,29,4261,0
6.4,1,0,0,1013,6094,1
6.4,1,0,0,0,8307,1
6.4,2,0,0,18,15256,1
6.4,2,0,0,787,12683,0
6.2,2,0,0,0,8871,1
6.9,2,0,0,244,716,1
6.8,0,0,0,0,5075,0
6.6,2,0,0,403,3820,0
6.4,1,0,0,7,6363,0
6.6,2,1,0,4,6736,0
6.4,2,1,0,4,9002,1
6.4,2,0,0,19,18014,0
6.4,3,1,0,199,17977,1
6.7,2,1,0,576,5861,0
6.4,2,1,0,186,6787,1
6.4,1,0,0,9,8678,0
6,2,1,0,1050,12257,0
4.5,2,1,0,2,101,1
6.4,2,0,0,2008,12461,0
6.8,2,0,0,17,7279,0
7,0,0,0,335,2306,0
6.2,1,0,1,810,345,0
6.5,1,0,1,743,7300,1
6.7,1,1,0,636,5334,0
6.4,2,0,0,13,19375,0
6.4,2,1,0,2,9266,1
6.6,2,0,1,706,5182,1
6.6,1,0,0,839,5887,1
7.2,2,1,0,175,6505,1
6.4,1,0,0,1723,5874,1
7.2,2,0,0,6,3622,0
