7,1,0
6.8,1,0
7.3,2,0
6.7,1,1
6.8,1,0
6.4,2,1
7,2,1
6.6,1,0
7.6,2,0
6.8,0,0
6.8,2,0
6.8,2,0
7.2,1,0
6.8,2,1
7,2,1
6.8,3,1
7.2,1,0
7.4,0,0
7.2,2,1
6.7,3,0
6.6,2,0
6.5,2,0
6.7,1,1
6.4,2,0
6.8,2,0
6.8,2,0
6.8,2,0
6.6,2,0
6.4,2,0
6.4,2,0
6,2,0
6.8,2,0
6.4,2,0
6.8,2,0
7,2,1
7.6,1,0
7.3,2,1
6.2,2,0
7.2,2,0
6.8,0,1
6.4,2,0
6.4,2,0
6.8,2,0
6.8,0,1
7,1,0
6.7,2,0
6.4,1,1
6.7,2,0
6.8,0,0
6.4,1,1
6.8,3,1
6.8,2,0
6.8,1,0
6.4,1,0
6.4,1,0
6.4,2,0
6.4,2,0
6.2,2,0
6.9,2,0
6.8,0,0
6.6,2,0
6.4,1,0
6.6,2,1
6.4,2,1
6.4,2,0
6.4,3,1
6.7,2,1
6.4,2,1
6.4,1,0
6,2,1
4.5,2,1
6.4,2,0
6.8,2,0
7,0,0
6.2,1,0
6.5,1,0
6.7,1,1
6.4,2,0
6.4,2,1
6.6,2,0
6.6,1,0
7.2,2,1
6.4,1,0
7.2,2,0
